Carlton and United (Melbourne) Foster's Special Bitter 	(Special) Best Bitter 	Australia - Victoria 	1568 	13½ 	1996-09-12
Carlton and United (Melbourne) Foster's Special Bitter 	(Special) Best Bitter 	Australia - Victoria 	5084 	15 	2003-08-18
Fischer Bitter 	(Special) Best Bitter 	France - Grand Est 	1371 	12½ 	1996-04-16
Boddington's Pub Ale Draught 	(Special) Best Bitter 	United Kingdom - Manchester 	1505 	13½ 	1996-06-13
Boddington's Pub Ale Draught 	(Special) Best Bitter 	United Kingdom - Manchester 	4953 	15 	2003-07-11
Felinfoel Double Dragon 	(Special) Best Bitter 	United Kingdom - Wales 	1260 	15½ 	1996-02-10
Felinfoel Double Dragon 	(Special) Best Bitter 	United Kingdom - Wales 	7357 	15½ 	2008-09-21
Scottish & Newcastle Theakston's XB Bitter 	(Special) Best Bitter 	United Kingdom - Tyne and Wear 	937 	19 	1995-05-06
Coast Range Desperado Special Bitter 	(Special) Best Bitter 	United States - California 	793 	15 	1995-03-13
Coast Range Desperado Special Bitter 	(Special) Best Bitter 	United States - California 	808 	12 	1995-03-18
Moonlight Twist of Fate Bitter 	(Special) Best Bitter 	United States - California 	130 	13½ 	1993-07-05
Moonlight Twist of Fate Bitter 	(Special) Best Bitter 	United States - California 	836 	13 	1995-03-30
Moonlight Twist of Fate Bitter 	(Special) Best Bitter 	United States - California 	1942 		1992-11-05
Triple Rock Frog Bite Bitter 	(Special) Best Bitter 	United States - California 	70 	9 	1993-06-13
Huntington Beach Bolsa Chica Reserve Bitter 	(Special) Best Bitter 	United States - California 	1289 	15 	1996-02-13
Redondo Beach South Bay Bitter 	(Special) Best Bitter 	United States - California 	945 	12½ 	1995-05-06
Redondo Beach South Bay Bitter 	(Special) Best Bitter 	United States - California 	1251 	13 	1996-02-09
Santa Clarita Bitter 	(Special) Best Bitter 	United States - California 	932 	11 	1995-05-06
Drake's Real Ale 	(Special) Best Bitter 	United States - California 	443 	13½ 	1994-09-06
St.Stan's Bitter 	(Special) Best Bitter 	United States - California 	919 	12 	1995-05-05
St.Stan's Pleasanton Centenni-Ale 	(Special) Best Bitter 	United States - California 	358 	14 	1994-06-24
St.Stan's Pleasanton Centenni-Ale Unfiltered 	(Special) Best Bitter 	United States - California 	414 	15 	1994-08-13
CooperSmith's Albert Damm Bitter 	(Special) Best Bitter 	United States - Colorado 	459 	16 	1994-10-20
Walnut Big Horn Bitter 	(Special) Best Bitter 	United States - Colorado 	282 	16 	1993-09-09
Commonwealth (Boston) Boston's Best Burton Bitter 	(Special) Best Bitter 	United States - Massachusetts 	1980 		1992-09-01
Commonwealth (Boston) Boston Burton Ale 	(Special) Best Bitter 	United States - Massachusetts 	346 	19 	1994-05-31
Oliver's Best Bitter 	(Special) Best Bitter 	United States - Maryland 	370 	14 	1994-07-05
Rogue Younger's Special Bitter 	(Special) Best Bitter 	United States - Oregon 	1890 	14 	1996-11-19
Red Rock Special Bitter 	(Special) Best Bitter 	United States - Utah 	1034 	11 	1995-06-18
Bank Bull Buck's Best Bitter 	(Special) Best Bitter 	United States - Oregon 	1597 	12½ 	1996-09-26
BridgePort Blue Heron Bitter 	(Special) Best Bitter 	United States - Oregon 	185 	14 	1993-07-28
BridgePort Blue Heron Bitter 	(Special) Best Bitter 	United States - Oregon 	204 	16 	1993-07-28
BridgePort Blue Heron Bitter 	(Special) Best Bitter 	United States - Oregon 	209 	16½ 	1993-07-28
Full Sail (Portland) Best Bitter 	(Special) Best Bitter 	United States - Oregon 	163 	12 	1993-07-27
McMenamins (Fulton) Nebraska Bitter 	(Special) Best Bitter 	United States - Oregon 	198 	15½ 	1993-07-28
Odell Levity Amber Ale 	(Special) Best Bitter 	United States - Colorado 	2147 	15½ 	1997-09-01
Odell Levity Amber Ale 	(Special) Best Bitter 	United States - Colorado 	6398 	16 	2007-03-18
Faultline (Walnut Creek) Best Bitter 	(Special) Best Bitter 	United States - California 	2158 	18 	1997-09-04
Greene King Abbot Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	592 	13 	1994-11-09
Greene King Abbot Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	2229 	14 	1997-09-09
Greene King Abbot Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	7114 	15 	2008-06-18
Firestone Walker (Los Olivos) Double Barrel Ale 	(Special) Best Bitter 	United States - California 	1669 	15½ 	1996-09-27
Firestone Walker (Los Olivos) Double Barrel Ale 	(Special) Best Bitter 	United States - California 	2239 	15½ 	1997-09-11
Firestone Walker (Los Olivos) Double Barrel Ale 	(Special) Best Bitter 	United States - California 	5335 	16 	2004-04-15
Jack Russell Best Bitter Ale 	(Special) Best Bitter 	United States - California 	2240 	15½ 	1997-09-11
Top of the Hill Bitter 	(Special) Best Bitter 	United States - North Carolina 	2269 	14½ 	1997-09-20
Niagara Falls Best Bitter 	(Special) Best Bitter 	Canada - Ontario 	2334 	15 	1997-10-14
Magnolia Blue Bell Bitter 	(Special) Best Bitter 	United States - California 	2415 	13½ 	1998-02-28
O'Grady's Blacksmith Bitter Ale 	(Special) Best Bitter 	United States - Illinois 	2611 	15½ 	1998-04-01
Shepherd Neame Shepherd Neame Spitfire Kentish Ale 	(Special) Best Bitter 	United Kingdom - Kent 	2867 	12 	1998-06-12
Shepherd Neame Master Brew Bitter 	(Special) Best Bitter 	United Kingdom - Kent 	2870 	13 	1998-06-13
Egan Egan's Shillelagh Beer 	(Special) Best Bitter 	United States - Wisconsin 	3159 	16 	1999-01-26
Fullers Fuller's London Pride 	(Special) Best Bitter 	United Kingdom - London 	3236 	18 	1999-04-15
Slab City William Capen Bitter Ale 	(Special) Best Bitter 	United States - Wisconsin 	3271 	13 	1999-05-08
Slab City William Capen Bitter Ale 	(Special) Best Bitter 	United States - Wisconsin 	3808 	16 	2001-03-30
Slab City William Capen Bitter Ale 	(Special) Best Bitter 	United States - Wisconsin 	4131 	18 	2002-01-18
Slab City William Capen Bitter Ale 	(Special) Best Bitter 	United States - Wisconsin 	5110 	14½ 	2003-09-12
Egan Pride of De Pere 	(Special) Best Bitter 	United States - Wisconsin 	3344 	14½ 	1999-09-20
Poka Beer Works Ale Golden 	(Special) Best Bitter 	Japan - Aichi-ken 	3461 	17 	2000-06-13
Sherlock's Home Bishop's Bitter 	(Special) Best Bitter 	United States - Minnesota 	1472 	20 	2000-08-12
Sherlock's Home Bishop's Bitter 	(Special) Best Bitter 	United States - Minnesota 	4405 	16 	2002-09-05
English Ales Ironside Best 	(Special) Best Bitter 	United States - California 	3689 	14 	2000-10-07
Brakspear Coniston Bluebird Bitter 	(Special) Best Bitter 	United Kingdom - Oxford 	3771 	12½ 	2001-02-27
Brakspear Coniston Bluebird Bitter 	(Special) Best Bitter 	United Kingdom - Oxford 	4943 	16½ 	2003-07-05
Youngs Dirty Dick's Ale 	(Special) Best Bitter 	United Kingdom - London 	3772 	14 	2001-02-27
Youngs Dirty Dick's Ale 	(Special) Best Bitter 	United Kingdom - London 	6351 	16½ 	2007-02-28
Bass Caffrey's Irish Ale 	(Special) Best Bitter 	United Kingdom - Staffordshire 	3789 	14½ 	2001-03-11
Egan Best Bull 	(Special) Best Bitter 	United States - Wisconsin 	3858 	17 	2001-07-18
Egan Best Bull 	(Special) Best Bitter 	United States - Wisconsin 	3859 	16 	2001-07-19
RCH Pitchfork Rebellious Bitter 	(Special) Best Bitter 	United Kingdom - Somerset 	3945 	14 	2001-10-20
RCH Pitchfork Rebellious Bitter 	(Special) Best Bitter 	United Kingdom - Somerset 	4049 	18 	2001-12-16
RCH Pitchfork Rebellious Bitter 	(Special) Best Bitter 	United Kingdom - Somerset 	6260 	18 	2007-01-06
Harviestoun Bitter and Twisted 	(Special) Best Bitter 	United Kingdom - Scotland 	3946 	13 	2001-10-20
Harviestoun Bitter and Twisted 	(Special) Best Bitter 	United Kingdom - Scotland 	4392 	16½ 	2002-08-18
Harviestoun Bitter and Twisted 	(Special) Best Bitter 	United Kingdom - Scotland 	6259 	18 	2007-01-06
Oakham Jeffrey Hudson Bitter / JHB 	(Special) Best Bitter 	United Kingdom - Cambridge 	4257 	18½ 	2002-03-01
Oakham Jeffrey Hudson Bitter / JHB 	(Special) Best Bitter 	United Kingdom - Cambridge 	4882 	16 	2003-06-01
York Yorkshire Terrier Premium Cask Bitter 	(Special) Best Bitter 	United Kingdom - North Yorkshire 	4260 	14½ 	2002-03-01
York Yorkshire Terrier Premium Cask Bitter 	(Special) Best Bitter 	United Kingdom - North Yorkshire 	4968 	11½ 	2003-07-20
Ship Inn Best Bitter 	(Special) Best Bitter 	United States - New Jersey 	4609 	17 	2003-01-21
Gale Horndean Special Bitter / HSB 	(Special) Best Bitter 	United Kingdom - Hampshire 	4259 	11 	2002-03-01
Gale Horndean Special Bitter / HSB 	(Special) Best Bitter 	United Kingdom - Hampshire 	4312 	16 	2002-04-14
Gale Horndean Special Bitter / HSB 	(Special) Best Bitter 	United Kingdom - Hampshire 	4614 	19 	2003-01-21
Victory Uncle Teddy's Bitter 	(Special) Best Bitter 	United States - Pennsylvania 	4625 	16 	2003-01-21
Greene King Wexford Irish Style Cream Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	4738 	14½ 	2003-03-21
Greene King Wexford Irish Style Cream Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	5589 	14 	2004-07-12
Greene King Wexford Irish Style Cream Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	7111 	14½ 	2008-06-18
McCashin's Malt Mac Winter Ale 	(Special) Best Bitter 	New Zealand 	4849 	13½ 	2003-05-02
Hook Norton Generation 	(Special) Best Bitter 	United Kingdom - Oxford 	4909 	18 	2003-06-23
Hook Norton Best Bitter 	(Special) Best Bitter 	United Kingdom - Oxford 	4910 	15 	2003-06-24
Hook Norton Old Hooky 	(Special) Best Bitter 	United Kingdom - Oxford 	4911 	14 	2003-06-27
Granite City (Saint Cloud) London Banker ESB 	(Special) Best Bitter 	United States - Minnesota 	5032 	10 	2003-08-09
James Squire James Squire Australian Best Ale Limited Release 	(Special) Best Bitter 	Australia - New South Wales 	5117 	16½ 	2003-10-09
Wells Bombardier Premium Ale 	(Special) Best Bitter 	United Kingdom - Bedford 	5164 	18 	2003-12-24
Black Sheep Ale 	(Special) Best Bitter 	United Kingdom - North Yorkshire 	5167 	15 	2003-12-25
Inveralmond Ossian 	(Special) Best Bitter 	United Kingdom - Scotland 	8183 	15 	2010-03-30
Shepherd Neame Shepherd Neame Whitstable Bay Organic Ale 	(Special) Best Bitter 	United Kingdom - Kent 	8003 	13 	2009-10-30
St Peter's Organic Ale 	(Special) Best Bitter 	United Kingdom - Suffolk 	5724 	16 	2005-08-06
